surge_mean,sway_mean,VVEL,VDIR,HS1,TP1,DIR1,CVEL0,CDIR0
-1.9824882740447958,0.5332544255599473,4.50,215.0,1.00,6.50,257.0,0.70,187.0
-1.4090823162055335,1.902094303030303,5.00,233.0,1.02,6.30,243.0,0.62,190.0
-2.768483959156786,0.29206464690382083,4.00,197.0,1.05,13.10,294.0,0.66,195.0
-3.86013866798419,-1.3136954255599473,2.80,196.0,1.02,7.60,245.0,0.72,193.0
-3.1245036561264823,-0.7559055362318842,3.50,181.0,1.03,7.30,285.0,0.72,190.0
-3.16168168115942,0.05868752042160739,3.40,192.0,0.96,7.30,274.0,0.60,192.0
-3.4858842661396574,-0.37479837285902506,3.00,194.0,0.92,6.70,255.0,0.61,191.0
-1.7803572279314885,0.8322960092226614,4.70,217.0,0.91,7.20,265.0,0.70,188.0
-1.3984357378129115,1.6102105256916996,5.10,209.0,0.95,6.40,237.0,0.68,191.0
-1.6977583359683794,1.5755078076416338,4.70,196.0,1.03,6.80,231.0,0.60,188.0
-2.1338852648221343,1.3878790724637682,4.40,182.0,1.06,6.70,248.0,0.57,192.0
-1.670389069828722,2.0235112463768115,4.90,174.0,1.05,7.00,289.0,0.59,197.0
-2.955360363636363,0.4864023754940711,3.90,181.0,1.07,6.70,236.0,0.62,198.0
-1.691584604743083,2.3740675981554675,5.00,162.0,1.05,7.80,254.0,0.57,203.0
-2.01119918972332,1.5308322028985504,4.50,179.0,1.01,7.60,254.0,0.57,192.0
-1.226760279314888,2.044436350461133,5.30,184.0,1.08,7.60,254.0,0.67,194.0
1.0690608682476943,4.684893963109354,6.70,193.0,1.06,7.80,233.0,0.69,189.0
0.7619073583662714,4.98130179710145,6.30,183.0,1.24,7.70,248.0,0.53,184.0
-0.06133835573122531,4.25383844400527,5.80,162.0,1.34,4.40,200.0,0.47,189.0
-0.3288108445322793,3.459447342555995,5.80,158.0,1.43,4.90,198.0,0.59,193.0
0.5628435744400526,4.278175657444005,6.50,153.0,1.35,5.10,212.0,0.68,194.0
1.637172118577075,5.600742105401844,7.00,152.0,1.42,5.40,180.0,0.66,190.0
0.48545702371541494,3.9670123109354414,6.20,146.0,1.37,5.30,187.0,0.63,185.0
-0.2110791449275362,1.913795674571805,5.60,173.0,1.31,11.50,346.0,0.73,179.0
-0.5723891594202899,2.098096374176548,5.50,188.0,1.22,11.30,343.0,0.69,185.0
1.3016258906455862,5.692795664031621,6.80,176.0,1.24,11.10,6.0,0.59,194.0
-0.46771369696969695,3.437210378129117,5.70,168.0,1.53,12.00,1.0,0.56,196.0
-1.3801862977602108,1.6278320158102766,5.20,166.0,1.40,4.90,209.0,0.69,193.0
-1.0508584598155466,1.0282231923583662,5.40,159.0,1.39,11.50,346.0,0.79,190.0
-0.8765826363636364,1.484783026350461,5.40,162.0,1.36,12.00,339.0,0.74,188.0
-1.4931298906455863,1.4590662938076413,4.60,157.0,1.33,12.20,3.0,0.58,179.0
-2.643694158102767,0.3016824953886693,3.50,195.0,1.29,12.00,332.0,0.56,181.0
-0.9534393083003952,1.4411238827404482,5.20,214.0,1.07,11.50,339.0,0.71,184.0
-0.22422735309617917,2.9346722028985512,5.60,224.0,1.20,11.40,351.0,0.61,180.0
-0.7577513820816866,3.0716205744400527,5.30,189.0,1.34,11.30,345.0,0.51,188.0
-1.2774507088274043,1.9935701594202901,5.10,191.0,1.28,11.10,344.0,0.62,192.0
-1.5845628274044792,0.04768116732542819,4.90,194.0,1.34,11.30,322.0,0.81,188.0
-1.5008046337285903,0.7566752872200262,5.00,187.0,1.27,11.40,4.0,0.75,189.0
-1.5757753372859025,2.107961256916996,4.80,192.0,1.27,8.20,229.0,0.54,190.0
-0.32171372463768116,3.384952743083004,5.60,203.0,1.29,8.30,228.0,0.55,183.0
-0.9780945032938075,1.871717839262187,5.30,210.0,1.32,11.10,310.0,0.68,189.0
-1.3341134163372859,1.118260073781291,5.00,174.0,1.36,8.10,235.0,0.71,185.0
-2.569208492753623,0.8484985546772068,3.80,161.0,1.25,10.20,314.0,0.53,189.0
-0.7609401646903821,2.961349563899869,5.50,174.0,1.34,9.90,312.0,0.59,195.0
1.4062951897233205,4.890536230566535,7.00,199.0,1.39,10.40,357.0,0.74,192.0
-0.744763229249012,2.412982744400527,5.90,179.0,1.29,8.10,258.0,0.76,198.0
-0.33703580237154146,2.5638440276679844,5.70,184.0,1.30,11.90,327.0,0.68,187.0
0.6399580105401844,4.361856422924902,6.50,179.0,1.34,4.70,228.0,0.67,192.0
1.9924302621870884,6.2226676166007895,7.40,172.0,1.40,11.90,318.0,0.72,198.0
2.9819881409749676,7.4631323201581035,7.90,176.0,1.64,4.70,222.0,0.73,193.0
3.246994632411068,8.090811463768116,7.90,162.0,1.84,5.20,207.0,0.65,190.0
0.8824865889328063,4.571355695652174,6.60,152.0,1.70,5.40,205.0,0.66,190.0
3.1298850671936758,7.111603210803689,7.90,150.0,1.71,5.30,198.0,0.76,188.0
3.446419459815547,7.910812479578394,8.10,142.0,1.79,5.40,195.0,0.74,191.0
1.798197342555995,5.095832371541502,6.80,148.0,1.74,5.40,195.0,0.66,173.0
3.7363921159420292,9.067081032938077,7.90,171.0,1.64,5.40,187.0,0.53,178.0
3.301427519104084,8.837885088274046,7.90,168.0,1.74,5.30,209.0,0.56,196.0
3.950375986824769,9.869998367588932,8.30,169.0,1.75,5.30,196.0,0.59,201.0
2.6209425942028983,7.958307577075098,7.60,158.0,1.90,5.60,211.0,0.56,200.0
3.879100944664031,9.839425417654809,8.30,151.0,2.02,5.80,196.0,0.59,204.0
4.492084897233202,9.416482819499342,8.70,141.0,1.92,6.50,189.0,0.78,193.0
5.063633166007905,9.54764055204216,8.90,137.0,2.26,6.40,183.0,0.82,186.0
0.472671185770751,6.067230881422925,5.90,128.0,1.97,6.70,177.0,0.05,22.0
-2.9846365032938076,1.8222512226613967,3.00,82.0,1.57,6.70,203.0,0.07,56.0
-3.585170092226614,1.21274414229249,2.20,74.0,1.18,11.10,318.0,0.07,34.0
-1.0138128959156785,4.176293123847167,4.90,348.0,1.14,10.90,339.0,0.04,346.0
-4.291005093544137,0.4520785691699605,0.10,335.0,2.04,5.90,20.0,0.01,225.0
3.9889704150197627,10.946213313570487,7.90,338.0,3.10,7.90,30.0,0.04,225.0
2.627684501976285,9.073642728590249,7.20,337.0,4.34,9.10,34.0,0.06,261.0
3.0790739617918317,9.596949194993412,7.50,350.0,4.33,9.00,50.0,0.11,221.0
-1.0756771093544137,3.884829079051383,4.90,345.0,3.92,9.40,45.0,0.09,198.0
-0.044823277997364956,4.824501961791832,5.40,348.0,4.27,14.60,19.0,0.10,163.0
-2.2992739723320157,2.009097177865613,3.70,340.0,4.30,14.80,29.0,0.11,180.0
-0.8304955704874833,3.4297340592885375,4.80,331.0,5.06,14.40,37.0,0.15,157.0
-0.9752443583662714,3.6492841330698287,4.70,318.0,4.63,13.80,36.0,0.09,131.0
-3.243802367588933,-1.3536948339920951,2.50,232.0,1.89,9.10,324.0,0.66,179.0
-2.6966338063241104,-0.24556665480895914,3.10,234.0,1.92,9.50,323.0,0.57,174.0
-3.707868864295125,-1.215262765480896,0.50,174.0,1.88,10.20,337.0,0.52,165.0
-0.8358108234519105,2.451058712779974,4.90,235.0,1.92,11.40,295.0,0.50,172.0
-0.50760125428195,2.6992733504611333,5.20,242.0,2.07,10.30,304.0,0.53,175.0
-0.7419958313570486,2.8885293913043477,5.00,232.0,2.14,11.50,310.0,0.44,174.0
-0.6513230553359683,3.4641775744400527,5.10,232.0,2.09,11.80,290.0,0.37,174.0
-0.39472322002635046,3.1517799262187096,5.40,214.0,2.15,11.60,309.0,0.51,182.0
-0.3762451712779973,2.5825268814229245,5.40,195.0,2.02,10.80,295.0,0.60,179.0
-3.126159769433465,-1.0048303412384718,2.20,165.0,2.21,10.40,306.0,0.58,172.0
-1.8592591515151515,1.0525319973649538,3.80,144.0,2.07,10.80,321.0,0.48,163.0
-2.5030126890645588,0.7062992187088274,3.30,206.0,2.00,10.80,299.0,0.45,170.0
-0.8825210909090909,2.429118509881423,4.90,171.0,1.85,10.00,308.0,0.50,174.0
-0.5266409446640316,3.242161453227932,5.20,162.0,1.73,10.30,286.0,0.46,173.0
-1.2690961080368908,2.711900725955204,4.70,156.0,1.77,10.40,294.0,0.40,179.0
-1.6502776996047432,2.27404930171278,4.60,87.0,1.66,10.80,300.0,0.46,191.0
-0.6289042239789197,2.7813570566534915,5.30,127.0,1.53,10.90,292.0,0.56,182.0
-1.3497387378129118,1.6995637259552043,4.60,111.0,1.51,10.40,310.0,0.55,177.0
-1.8849197364953887,1.7990957457180499,4.20,111.0,1.49,10.40,278.0,0.45,178.0
-2.238613100131752,1.75788128458498,3.90,119.0,1.37,10.10,304.0,0.38,182.0
-1.5896148998682473,2.4240342345191044,4.50,131.0,1.25,10.10,288.0,0.41,181.0
-3.764996943346508,0.05771075625823452,2.00,103.0,1.23,9.90,304.0,0.40,184.0
-4.356936306982872,-0.2435114808959157,0.10,55.0,1.13,9.80,289.0,0.35,188.0
-3.395971872200263,0.7335311594202899,2.80,70.0,1.02,9.90,287.0,0.38,192.0
-4.173516553359684,-0.1734487852437418,1.50,4.0,0.97,9.80,298.0,0.41,193.0
-4.291151304347826,-0.7196872859025035,0.90,305.0,0.86,10.20,299.0,0.48,187.0
-4.046948241106719,-0.05238378392621871,1.50,9.0,0.81,9.10,277.0,0.38,185.0
-1.1080006811594203,3.5160050592885375,4.90,347.0,1.04,9.80,307.0,0.30,188.0
-0.7765554808959158,3.7013958445322794,5.30,7.0,1.95,8.80,39.0,0.38,192.0
-1.8423265691699606,2.185091744400527,4.50,360.0,2.35,8.90,54.0,0.42,188.0
-3.3539345876152833,0.4569188642951252,3.00,8.0,2.73,8.70,59.0,0.42,188.0
-2.4025623425559943,1.624294434782609,4.00,9.0,2.45,10.10,60.0,0.40,190.0
-2.4104100105401844,1.3564083306982873,4.00,6.0,2.30,9.70,21.0,0.43,190.0
0.413785907773386,4.345768706192358,6.10,357.0,2.37,9.70,41.0,0.52,183.0
-1.3602575994729909,2.1570491422924905,4.80,2.0,2.62,9.40,49.0,0.49,181.0
-1.2107108102766797,2.7585710421607375,5.00,9.0,2.77,9.80,56.0,0.44,187.0
-3.1175222845849797,-0.08763502371541503,3.40,9.0,2.73,10.60,33.0,0.55,190.0
1.6058534532279316,6.219283040843214,6.80,349.0,2.89,11.30,54.0,0.47,185.0
-0.07048248484848486,3.7162685902503294,5.80,6.0,2.77,11.90,41.0,0.50,186.0
-3.893124994729908,-0.31398760342556,2.30,3.0,2.67,12.60,41.0,0.45,193.0
-4.538984936758894,-0.7990963412384717,1.70,345.0,2.68,12.20,32.0,0.49,204.0
-3.3874094822134384,-0.06277771805006586,3.10,306.0,2.36,11.60,60.0,0.54,191.0
-1.447094071146245,1.44749246113307,4.90,120.0,2.51,10.90,26.0,0.60,187.0
-2.796610552042161,-0.08431523583662714,3.20,124.0,2.73,11.60,36.0,0.52,175.0
0.7237153517786562,5.003114866930171,6.30,56.0,2.29,11.90,75.0,0.51,187.0
0.10081318445322796,3.9014054071146242,6.00,11.0,2.41,10.80,72.0,0.57,188.0
-2.4616392700922267,0.7237451501976284,4.00,14.0,2.72,12.20,68.0,0.55,187.0
-0.530194976284585,3.3354787536231885,5.70,22.0,2.47,11.90,58.0,0.56,194.0
-0.833691815546772,2.976067548089592,5.40,19.0,2.53,12.50,96.0,0.54,192.0
-1.8819829986824768,1.1031908498023715,4.70,2.0,2.66,12.30,352.0,0.60,196.0
-2.923913492753623,-0.6937917523056654,3.80,358.0,2.75,12.50,8.0,0.68,193.0
-2.5568362766798423,-0.24175961660079054,3.90,3.0,2.63,11.80,360.0,0.64,189.0
-3.355981881422925,-1.246514325428195,2.80,351.0,2.59,12.80,33.0,0.65,183.0
-3.500153657444005,-1.4982657536231883,2.60,344.0,2.53,12.80,14.0,0.65,184.0
-3.217676277997365,-1.6072515151515152,2.60,149.0,2.58,12.50,16.0,0.66,177.0
-3.278275374176548,-1.3689817167325429,2.40,140.0,2.49,12.50,40.0,0.63,175.0
-4.0673127378129115,-1.7246024716732542,1.20,333.0,2.35,12.20,4.0,0.59,182.0
-5.116002164690382,-1.8608841976284585,0.70,36.0,2.40,11.50,7.0,0.64,205.0
-4.952184558629776,-2.609151392621871,0.50,11.0,2.23,13.00,350.0,0.73,198.0
-5.009898885375494,-2.776555833992095,0.30,11.0,2.20,11.10,18.0,0.75,196.0
-4.57145169828722,-2.3186683992094865,1.10,358.0,2.25,12.00,16.0,0.69,192.0
-4.669866167325428,-2.8066827088274042,0.10,63.0,2.43,11.80,27.0,0.73,190.0
-3.884189862977602,-3.0700636627140976,1.30,85.0,2.64,12.20,353.0,0.76,182.0
-3.807190741765481,-2.4336918945981556,0.10,75.0,2.69,12.50,32.0,0.66,172.0
-3.709422341238472,-2.5490254571805004,0.20,57.0,2.32,11.90,34.0,0.70,171.0
-4.333240026350461,-2.353762256916996,0.10,33.0,2.34,12.80,354.0,0.66,186.0
-4.203802652173913,-2.947705069828722,1.40,337.0,2.90,13.30,350.0,0.75,189.0
-4.122689094861659,-3.171969042160738,1.20,6.0,2.45,12.80,10.0,0.78,184.0
-3.6357081791831356,-3.3793915494071145,1.80,319.0,2.78,12.00,3.0,0.81,181.0
-4.037967607378129,-3.428794234519104,0.10,90.0,2.54,13.00,6.0,0.78,180.0
-4.013684137022398,-2.3763377747035572,0.30,54.0,2.35,12.80,359.0,0.66,178.0
-2.9619112160737813,-2.0176140777338603,3.00,325.0,2.33,12.80,15.0,0.76,179.0
-3.01744623715415,-2.117859006587615,3.30,357.0,2.65,12.60,7.0,0.79,185.0
-3.3291833241106716,-2.4667036324110674,3.20,345.0,2.90,13.10,19.0,0.81,188.0
-2.5349823425559945,-0.21577909354413702,4.30,318.0,2.65,12.50,51.0,0.72,192.0
-3.7953721567852434,-2.008952328063241,2.10,319.0,2.83,13.30,357.0,0.66,186.0
-4.081454247694334,-2.81713114229249,2.20,302.0,2.98,13.30,2.0,0.77,191.0
-2.1762977602108036,-1.0112173768115942,3.80,296.0,2.70,14.00,353.0,0.71,178.0
-3.200719938076416,-3.232976276679842,2.10,302.0,2.89,14.00,348.0,0.80,178.0
-2.735506341238472,-2.0199538260869563,2.90,304.0,2.89,14.00,353.0,0.73,175.0
-2.844984450592885,-2.2751856179183134,2.70,301.0,2.37,14.20,344.0,0.76,176.0
-2.3287027457180502,-0.45677871541501985,3.40,285.0,2.69,13.70,359.0,0.60,169.0
-2.4968929604743084,-1.3355947154150196,2.90,270.0,2.53,14.40,358.0,0.66,166.0
-2.340064548089592,-0.4817197048748353,3.30,258.0,2.55,13.80,26.0,0.60,166.0
-3.537546938076417,-2.73616866798419,0.60,321.0,3.03,14.40,8.0,0.68,169.0
-2.1677640632411066,0.0008829828722002716,3.70,261.0,2.69,14.40,347.0,0.56,175.0
-1.2423641080368906,-0.44268557971014494,4.40,270.0,3.10,13.80,356.0,0.71,170.0
2.7214433689064563,6.908505658761529,7.40,284.0,2.77,12.80,24.0,0.57,178.0
1.1329718735177865,3.537878707509882,6.70,258.0,2.97,13.50,336.0,0.74,189.0
1.3416778893280632,1.9745749736495388,7.00,259.0,3.26,14.20,18.0,0.93,185.0
1.4431000210803686,0.07488148353096179,6.40,248.0,3.31,13.10,333.0,0.98,175.0
-0.13043031884057973,-1.1966078629776022,5.30,234.0,3.38,13.30,359.0,0.90,173.0
4.919602400527009,6.168615570487484,8.40,260.0,3.65,8.40,323.0,0.94,171.0
4.2362121119894605,6.085969093544136,8.20,257.0,3.68,8.80,349.0,0.86,174.0
3.991944022397892,7.322576126482214,8.00,237.0,3.25,8.10,329.0,0.73,175.0
2.574107841897233,2.759778537549407,6.50,256.0,3.53,8.30,302.0,0.83,157.0
1.839295467720685,2.568332877470356,6.60,243.0,3.33,8.30,287.0,0.85,171.0
4.210617606060606,7.207794930171278,8.30,243.0,3.16,9.10,3.0,0.81,177.0
2.315909465085639,4.410095388669302,6.90,236.0,3.20,8.70,326.0,0.72,170.0
1.895595934123847,4.023392897233202,6.60,224.0,3.28,9.30,324.0,0.68,169.0
2.477319023715415,5.033406737812912,7.10,226.0,2.98,10.10,292.0,0.73,174.0
3.959889421607378,7.358118756258235,8.10,217.0,3.13,9.90,326.0,0.75,181.0
0.0677240606060606,2.182782436100132,5.70,166.0,3.03,10.80,320.0,0.67,182.0
-0.6390762411067195,1.9313479130434783,5.30,205.0,3.11,9.10,286.0,0.64,182.0
-0.2989367061923584,2.889339814229249,5.80,217.0,2.55,9.20,287.0,0.65,190.0
2.016067484848485,6.162235462450594,7.10,183.0,2.87,9.80,326.0,0.58,191.0
