surge_mean,sway_mean,VVEL,VDIR,HS1,TP1,DIR1,CVEL0,CDIR0,group,case
2.0410654632454923,0.28003719278779476,4.10,330.0,1.92,8.10,56.0,0.51,205.0,1,1
2.0327493550624136,0.2783947753120666,2.90,310.0,1.67,7.80,31.0,0.50,210.0,1,2
2.033094653259362,0.30059287378640775,4.10,306.0,1.50,8.10,63.0,0.39,220.0,1,3
2.0262904382801663,0.2122492316227462,4.70,297.0,1.58,7.50,72.0,0.69,198.0,1,4
2.0285611414701803,0.2619833522884882,4.60,284.0,1.64,8.50,38.0,0.56,189.0,1,5
2.01481121220527,0.2903819042995839,3.00,287.0,1.57,8.80,26.0,0.45,193.0,1,6
2.0175501026352287,0.2591898460471567,1.80,288.0,1.54,7.90,37.0,0.57,192.0,1,7
2.038457423023578,0.24864795145631066,0.20,268.0,1.44,8.70,16.0,0.65,184.0,1,8
2.0302912898751733,0.2763418030513176,1.20,276.0,1.90,11.00,330.0,0.54,202.0,1,9
2.0206348737864075,0.23790330651872396,1.70,300.0,1.68,11.50,333.0,0.72,192.0,1,10
2.0358365547850203,0.25885571151178915,1.90,339.0,1.58,10.60,360.0,0.63,192.0,1,11
2.0124336823855753,0.2880858404993066,3.00,346.0,1.42,11.50,340.0,0.53,194.0,1,12
2.014724327323162,0.26571371012482664,2.10,6.0,1.48,10.90,339.0,0.59,207.0,1,13
2.0292594854368935,0.23394054368932035,4.70,45.0,1.17,10.10,327.0,0.65,193.0,1,14
2.02105879334258,0.27007548127600556,4.60,10.0,1.69,10.60,338.0,0.60,195.0,1,15
2.008545708737864,0.27892659500693484,6.40,345.0,1.85,5.90,38.0,0.47,204.0,1,16
2.0534137018030516,0.24779574063800278,5.00,339.0,1.83,6.10,342.0,0.59,204.0,1,17
1.9782936199722607,0.20905952288488214,4.70,350.0,2.12,6.40,327.0,0.69,200.0,1,18
2.0370728294036065,0.26420114979195564,4.20,347.0,2.24,9.80,12.0,0.64,195.0,1,19
2.069751879334258,0.31371048266296814,4.90,348.0,2.57,11.60,346.0,0.52,193.0,1,20
2.0203101941747574,0.279049919556172,3.10,351.0,2.70,11.40,22.0,0.53,196.0,1,21
1.9845110277392508,0.27082885991678224,2.40,352.0,2.68,11.30,10.0,0.57,189.0,1,22
2.0373978224687934,0.28360850069348126,1.90,6.0,2.70,11.10,32.0,0.51,192.0,1,23
2.0313143481276006,0.30436864632454924,4.50,345.0,2.55,10.40,18.0,0.41,205.0,1,24
2.017014343966713,0.295680213592233,3.80,331.0,2.57,10.70,16.0,0.45,208.0,1,25
2.0321301595006935,0.24957682246879334,1.50,286.0,2.52,9.90,37.0,0.62,205.0,1,26
2.019364450762829,0.29511135644937586,2.50,305.0,2.39,13.10,16.0,0.58,202.0,1,27
2.0302915395284327,0.3337517309292649,0.40,310.0,2.97,13.50,355.0,0.54,198.0,1,28
2.015254047156727,0.30302867545076284,1.10,310.0,2.69,13.00,2.0,0.58,202.0,1,29
2.033975725381415,0.28387805686546463,1.20,281.0,2.80,12.50,4.0,0.68,194.0,1,30
